,Price,Address,Specifics
77,"$1,399,000",45468 WELLINGTON AVENUE,"5BD3BA5 Parking2,420 sqft"
78,"$1,150,000",4738 FIR ROAD,"4BD3BA4 Parking3,168 sqft"
79,"$449,900",264 Tragina Ave N,"2BD1BA0 Parking700-1,100 sqft"
80,"$374,000",320 Albinson St,3BD2BA3 Parking
81,"$850,000",41 Consecon St,"3BD2BA4 Parking1,500-2,000 sqft"
82,"$410,000",391 Emerald St N,"2BD1BA1 Parking700-1,100 sqft"
83,"$1,250,000",143 Varsity Rd,"3BD2BA3 Parking1,100-1,500 sqft"
84,"$1,249,900",110 Way St,3+2BD3BA8 Parking
85,"$2,075,000",411 E OSBORNE ROAD,"5BD3BA6 Parking2,610 sqft"
86,"$949,000",10 Sylvester Dr,"4BD4BA6 Parking2,000-2,500 sqft"
87,"$929,000",2218 Middlesmoor Cres,3BD3BA3 Parking
88,"$899,999",48 Prue Crt,3+1BD4BA4 Parking
89,"$709,000",65 Stevenson St,"3BD2BA4 Parking1,100-1,500 sqft"
90,"$1,698,800",138 Pioneer Lane,"3BD3BA2 Parking1,500-2,000 sqft"
91,"$799,000",210 Sandringham Dr,3+1BD4BA5 Parking
92,"$1,279,000",3073 Country Lane,4BD4BA4 Parking
93,"$1,400,000",14 Moccasin Tr,3+2BD2BA4 Parking
94,"$3,180,000",3511 TRUMOND AVENUE,"5BD6BA7 Parking3,718 sqft"
95,"$899,000",114 Nordic Rd,"5BD2BA6 Parking2,000-2,500 sqft"
96,"$324,900",1581 Weller St,"3BD2BA3 Parking1,100-1,500 sqft"
97,"$350,000",20 Dell St,"5BD3BA3 Parking1,500-2,000 sqft"
98,"$565,800",4533 Sixth St,"3+1BD2BA6 Parking2,000-2,500 sqft"
99,"$1,999,000",1697 Missenden Cres,3+1BD3BA8 Parking
100,"$1,699,000",163 Cherryhurst Rd,"4BD4BA4 Parking2,500-3,000 sqft"
101,"$949,000",3 Natures Tr,"2+1BD2BA4 Parking2,500-3,000 sqft"
102,"$999,000",22 Peacock Tr,4BD4BA6 Parking
103,"$599,900",46 Annamaria Dr,3BD2BA3 Parking
104,"$860,000",8785 8th Line,3+1BD3BA8 Parking
105,"$1,799,000",40756 PEEBLES PLACE,"5BD3BA4 Parking2,252 sqft"
106,"$3,980,000",9140 WELLMOND ROAD,"5BD6BA3 Parking3,631 sqft"
107,"$2,800,000",16117 108 AVENUE,"11BD9BA6 Parking6,180 sqft"
108,"$799,900",177 Seeley Ave,"3BD3BA4 Parking1,500-2,000 sqft"
109,"$799,900",19 Orlanda Rd,"3BD2BA3 Parking1,100-1,500 sqft"
110,"$2,250,000",3605 County Road 7,"2+1BD3BA6 Parking3,500-5,000 sqft"
111,"$999,000",136 Silverthorne Dr,"3BD3BA4 Parking1,500-2,000 sqft"
112,"$1,650,000",38 Pheasant St,"2+2BD3BA5 Parking1,100-1,500 sqft"
113,"$1,188,000",104 Coleridge Ave,"3BD3BA2 Parking1,500-2,000 sqft"
114,"$989,000",11 - 6110 MILLER DRIVE,"5BD4BA4 Parking3,016 sqft"
115,"$2,998,000",782 264 STREET,"4BD4BA20 Parking2,822 sqft"
116,"$709,900",46443 STONEY CREEK DRIVE,"2BD2BA4 Parking1,584 sqft"
117,"$1,052,000",127 Hackamore Cres,"4BD4BA6 Parking3,000-3,500 sqft"
